id,audit_trail,cap_group,cap_info,cap_order,description,entity_type,is_active,is_api,is_console,is_immutable,name,extra_info,created_at,created_by,modified_at,modified_by,deleted_at,deleted_by
63,"{""checked"": false}",User Management,User Management Checker Reject handles user management checker reject operations,,User Management Checker Reject,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,usm_c_reject,,,,,,,
64,"{""checked"": false}",Self Billing,Self Billing List handles self billing list operations,,Self Billing List,"{MI,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,self_bill_list,,,,,,,
65,"{""checked"": false}",Self Billing,Self Billing Get handles self billing get operations,,Self Billing Get,"{MI,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,self_bill_get,,,,,,,
66,"{""checked"": false}",Profile,Self User Profile handles self user profile operations,,Self User Profile,"{MI,OKRA,MII}",TRUE,FALSE,FALSE,TRUE,self_usr_profile,,,,,,,
67,"{""checked"": false}",Profile,Self Organization Profile handles self organization profile operations,,Self Organization Profile,"{MI,OKRA,MII}",TRUE,FALSE,FALSE,TRUE,self_org_profile,,,,,,,
68,"{""checked"": false}",Billing,Billing Viewer List handles billing Viewer list operations for KRA,,Billing Viewer List,{KRA},TRUE,FALSE,FALSE,TRUE,bill_v_list,,,,,,,
69,"{""checked"": false}",Billing,Billing Viewer Get handles billing Viewer get operations for KRA,,Billing Viewer Get,{KRA},TRUE,FALSE,FALSE,TRUE,bill_v_get,,,,,,,
70,"{""checked"": false}",Billing,Billing Maker List handles billing Maker list operations for KRA,,Billing Maker List,{KRA},TRUE,FALSE,FALSE,TRUE,bill_m_list,,,,,,,
71,"{""checked"": false}",Billing,Billing Maker Get handles billing Maker get operations for KRA,,Billing Maker Get,{KRA},TRUE,FALSE,FALSE,TRUE,bill_m_get,,,,,,,
72,"{""checked"": false}",Billing,Billing Maker Add handles billing maker add operations for KRA,,Billing Maker Add,{KRA},TRUE,FALSE,FALSE,TRUE,bill_m_add,,,,,,,
73,"{""checked"": false}",Billing,Billing Maker Delete handles billing maker delete operations for KRA,,Billing Maker Delete,{KRA},TRUE,FALSE,FALSE,TRUE,bill_m_discard,,,,,,,
74,"{""checked"": false}",Billing,Billing Maker Draft handles billing maker draft operations for KRA,,Billing Maker Draft,{KRA},TRUE,FALSE,FALSE,TRUE,bill_m_draft,,,,,,,
75,"{""checked"": false}",Billing,Billing Maker Edit handles billing maker edit operations for KRA,,Billing Maker Edit,{KRA},TRUE,FALSE,FALSE,TRUE,bill_m_edit,,,,,,,
76,"{""checked"": false}",Billing,Billing Checker List handles billing checker list operations for KRA,,Billing Checker List,{KRA},TRUE,FALSE,FALSE,TRUE,bill_c_list,,,,,,,
77,"{""checked"": false}",Billing,Billing Checker Get handles billing checker get operations for KRA,,Billing Checker Get,{KRA},TRUE,FALSE,FALSE,TRUE,bill_c_get,,,,,,,
78,"{""checked"": false}",Billing,Billing Checker RaisedQuery handles billing checker raisequery operations for KRA,,Billing Checker RaiseQuery,{KRA},TRUE,FALSE,FALSE,TRUE,bill_c_raiseQuery,,,,,,,
