id,pincode,city_id,state_id,country_id,v1_code,is_active,is_deleted,created_by,created_at,modified_by,modified_at,deleted_by,deleted_at,extra_info
114,121004,217,12,85,114,true,false,,,,,,,
115,121005,217,12,85,115,true,false,,,,,,,
116,121006,217,12,85,116,true,false,,,,,,,
117,121007,217,12,85,117,true,false,,,,,,,
118,121008,217,12,85,118,true,false,,,,,,,
119,121009,217,12,85,119,true,false,,,,,,,
120,121010,217,12,85,120,true,false,,,,,,,
121,121011,217,12,85,121,true,false,,,,,,,
122,121012,217,12,85,122,true,false,,,,,,,
123,121013,217,12,85,123,true,false,,,,,,,
124,121014,217,12,85,124,true,false,,,,,,,
125,121015,217,12,85,125,true,false,,,,,,,
126,121101,217,12,85,126,true,false,,,,,,,
127,121102,217,12,85,127,true,false,,,,,,,
128,121103,217,12,85,128,true,false,,,,,,,
129,121104,448,12,85,129,true,false,,,,,,,
130,121105,217,12,85,130,true,false,,,,,,,
131,121106,217,12,85,131,true,false,,,,,,,
132,121107,217,12,85,132,true,false,,,,,,,
133,121314,602,31,85,133,true,false,,,,,,,
134,121705,444,31,85,134,true,false,,,,,,,
135,122001,257,12,85,135,true,false,,,,,,,
136,122002,257,12,85,136,true,false,,,,,,,
137,122003,257,12,85,137,true,false,,,,,,,
138,122004,257,12,85,138,true,false,,,,,,,
139,122005,257,12,85,139,true,false,,,,,,,
140,122006,257,12,85,140,true,false,,,,,,,
141,122007,257,12,85,141,true,false,,,,,,,
142,122008,257,12,85,142,true,false,,,,,,,
143,122009,257,12,85,143,true,false,,,,,,,
144,122010,257,12,85,144,true,false,,,,,,,
145,122011,257,12,85,145,true,false,,,,,,,
146,122012,257,12,85,146,true,false,,,,,,,
147,122013,257,12,85,147,true,false,,,,,,,
148,122014,257,12,85,148,true,false,,,,,,,
149,122015,257,12,85,149,true,false,,,,,,,
150,122016,257,12,85,150,true,false,,,,,,,
151,122017,257,12,85,151,true,false,,,,,,,
152,122018,257,12,85,152,true,false,,,,,,,
153,122019,257,12,85,153,true,false,,,,,,,
154,122021,257,12,85,154,true,false,,,,,,,
155,122022,257,12,85,155,true,false,,,,,,,
156,122050,257,12,85,156,true,false,,,,,,,
157,122051,257,12,85,157,true,false,,,,,,,
158,122052,257,12,85,158,true,false,,,,,,,
159,122057,257,12,85,159,true,false,,,,,,,
160,122098,257,12,85,160,true,false,,,,,,,
161,122100,579,12,85,161,true,false,,,,,,,
162,122101,257,12,85,162,true,false,,,,,,,
163,122102,257,12,85,163,true,false,,,,,,,
164,122103,257,12,85,164,true,false,,,,,,,
165,122104,257,12,85,165,true,false,,,,,,,
166,122105,257,12,85,166,true,false,,,,,,,
167,122106,579,12,85,167,true,false,,,,,,,
168,122107,257,12,85,168,true,false,,,,,,,
169,122108,257,12,85,169,true,false,,,,,,,
170,122413,257,12,85,170,true,false,,,,,,,
171,122414,257,12,85,171,true,false,,,,,,,
172,122502,257,12,85,172,true,false,,,,,,,
173,122503,257,12,85,173,true,false,,,,,,,
174,122504,257,12,85,174,true,false,,,,,,,
175,122505,257,12,85,175,true,false,,,,,,,
176,122506,257,12,85,176,true,false,,,,,,,
177,122508,257,12,85,177,true,false,,,,,,,
178,123001,427,12,85,178,true,false,,,,,,,
179,123003,257,12,85,179,true,false,,,,,,,
180,123021,579,12,85,180,true,false,,,,,,,
181,123023,427,12,85,181,true,false,,,,,,,
182,123024,427,12,85,182,true,false,,,,,,,
183,123027,427,12,85,183,true,false,,,,,,,
184,123028,427,12,85,184,true,false,,,,,,,
185,123029,427,12,85,185,true,false,,,,,,,
186,123031,427,12,85,186,true,false,,,,,,,
187,123034,427,12,85,187,true,false,,,,,,,
188,123035,579,12,85,188,true,false,,,,,,,
189,123101,579,12,85,189,true,false,,,,,,,
190,123102,579,12,85,190,true,false,,,,,,,
191,123103,579,12,85,191,true,false,,,,,,,
192,123106,579,12,85,192,true,false,,,,,,,
193,123110,579,12,85,193,true,false,,,,,,,
194,123301,579,12,85,194,true,false,,,,,,,
195,123302,579,12,85,195,true,false,,,,,,,
196,123303,427,12,85,196,true,false,,,,,,,
197,123305,307,12,85,197,true,false,,,,,,,
198,123401,579,12,85,198,true,false,,,,,,,
199,123411,579,12,85,199,true,false,,,,,,,
200,123412,579,12,85,200,true,false,,,,,,,
201,123414,579,12,85,201,true,false,,,,,,,
202,123456,428,11,85,202,true,false,,,,,,,
203,123501,427,12,85,203,true,false,,,,,,,
204,123502,257,12,85,204,true,false,,,,,,,
205,123505,257,12,85,205,true,false,,,,,,,
206,123506,257,12,85,206,true,false,,,,,,,
207,123507,257,12,85,207,true,false,,,,,,,
208,123508,257,12,85,208,true,false,,,,,,,
